title	link	date	abstract	author	surtitle	source
Abgleiten in die Anarchie	https://www.faz-biblionet.de/faz-portal/document?uid=FAZN__20150611_3642143	2015-06-11	"Am 26. März 2015 begann Saudi-Arabien seinen Krieg im Jemen. Kein Kriegsziel hat das Königreich bis heute erreicht: Die Houthi, die schiitischen ...
         ..März 2015 begann Saudi-Arabien seinen Krieg im Jemen...  ..Der Krieg im Jemen trägt die Handschrift des neuen saudischen Königs Salman...  ..Gescheitert sind alle Anläufe, die anhaltenden Konflikte im Jemen politisch beizulegen..."	Rainer Hermann	Jemen	FAZ
Mehr als 40 Tote bei Angriff auf Sanaa	https://www.faz-biblionet.de/faz-portal/document?uid=FAZN__20150607_3633915	2015-06-07	"Trotz internationaler Friedensbemühungen eskaliert der Konflikt im Jemen. Die schiitischen Houthi-Rebellen teilten mit, bei einem Luftangriff ...
         ..Trotz internationaler Friedensbemühungen eskaliert der Konflikt im Jemen...  ..sunnitischer Staaten unter Führung Saudi-Arabiens will den demokratisch gewählten Präsidenten Abd-Rabbu Mansur Hadi, der aus dem Jemen.."		Jemen	FAZ
Friedensgespräche im Jemen	https://www.faz-biblionet.de/faz-portal/document?uid=FAZ__FD2201506064598502_4	2015-06-06	Im jemenitischen Bürgerkrieg haben beide Seiten ihre Teilnahme an den geplanten UN-Friedengesprächen angekündigt. Daifallah al-Schami vom Politbüro ...		Wichtiges in Kürze	FAZ
Kerry: Irans Unterstützung der Houthi ist uns bewusst	https://www.faz-biblionet.de/faz-portal/document?uid=FAZN__20150409_3528538	2015-04-09	"Der amerikanische Außenminister John Kerry hat vor dem Hintergrund der Jemen-Krise den Verbündeten in der Region die Unterstützung seines Landes ...
         ..Der amerikanische Außenminister John Kerry hat vor dem Hintergrund der Jemen-Krise den Verbündeten in der Region die Unterstützung..  ..Konflikt: Die Vereinigten Staaten seien sich durchaus bewusst, dass die Islamische Republik die Houthi-Aufständischen im Jemen..  ..Die beiden Männer seien ""die Köpfe des Bösen im Jemen""..."		Konflikt im Jemen	FAZ
Hoheit nur über den Luftraum	https://www.faz-biblionet.de/faz-portal/document?uid=FAZ__FD1201504094545224	2015-04-09	"KAIRO, 8. April. Zwei Wochen nach Beginn der Operation ""Entschiedener Sturm"" ist es der von Saudi-Arabien geführten Koalition arabischer Staaten ...
         ..Entschiedener Sturm"" ist es der von Saudi-Arabien geführten Koalition arabischer Staaten gelungen, die Lufthoheit über den Jemen..  ..Die Führung um König Salman wirft Iran vor, auch die zaiditischen Aufständischen im Jemen unter ihrem Führer Abd al Malik..  ..Eigene Bodentruppen in den Jemen schicken will der saudische König Salman nicht..."		Saudi-Arabiens Jemen-Kampagne stockt / Von Markus Bickel	FAZ
Marinemission Irans vor der Küste Jemens	https://www.faz-biblionet.de/faz-portal/document?uid=FAZ__FD1201504094545572	2015-04-09	"mrb. KAIRO, 8. April. Zwei Wochen nach Beginn von Luftangriffen durch ein von Saudi-Arabien geführtes Bündnis arabischer Staaten wächst die ...
         ..Luftangriffen durch ein von Saudi-Arabien geführtes Bündnis arabischer Staaten wächst die Gefahr, dass Iran in den Konflikt im Jemen..  ..amerikanische Außenminister Antony Blinken hatte nach einem Treffen mit Hadi in Riad den Houthi-Rebellen die Schuld an der Krise im Jemen.."			FAZ
Amerika liefert mehr Waffen an Saudis	https://www.faz-biblionet.de/faz-portal/document?uid=FAZN__20150408_3527093	2015-04-08	"Saudi-Arabien und seine Verbündeten haben ihre Luftangriffe auf Stellungen der jemenitischen Houthi-Rebellen fortgesetzt, ohne dass aber große ...
         ..Der amerikanische Verteidigungsminister Ash Carter warnte, den Zerfall des Jemen nutze auch Al Qaida aus, um ihre Stellung..  ..Die Vereinigten Staaten bekämpfen den al-Qaida-Ableger im Jemen vornehmlich mit Drohnenangriffen...  ..Dies wäre zwar leichter mit einer stabilen kooperationswilligen Regierung, die es im Jemen aber nicht mehr gebe..."		Krieg im Jemen	FAZ
Wildern in Al Qaidas Revier	https://www.faz-biblionet.de/faz-portal/document?uid=FAZ__FD1201504084541030	2015-04-08	"Die Ankündigung der jemenitischen Terrorgruppe Ansar al Scharia, Abu Bakr al Bagdadi, ""dem Kalifen der Gläubigen"", die Treue zu schwören, hatte ...
         ..März 2015, bei denen 142 Menschen getötet wurden, brachten die Präsenz des IS im Jemen mit einem Schlag ins Bewusstsein...  ..Es war der erste Terroranschlag im Namen des IS im Jemen...  ..Noch ist nicht klar, ob der IS und Al Qaida im Jemen rivalisieren oder nebeneinander koexistieren..."		Konkurrenz oder Koexistenz im Jemen?	FAZ
Iran schickt Kriegsschiffe an Jemens Küste	https://www.faz-biblionet.de/faz-portal/document?uid=FAZN__20150408_3527561	2015-04-08	"Zwei Wochen nach Beginn von Luftangriffen durch ein von Saudi-Arabien geführtes Bündnis arabischer Staaten wächst die Gefahr, dass Iran in den ...
         ..Luftangriffen durch ein von Saudi-Arabien geführtes Bündnis arabischer Staaten wächst die Gefahr, dass Iran in den Konflikt im Jemen..  ..amerikanische Außenminister Antony Blinken hatte nach einem Treffen mit Hadi in Riad den Houthi-Rebellen die Schuld an der Krise im Jemen.."		Gefechte in Aden	FAZ
Wildern in Al Qaidas Revier	https://www.faz-biblionet.de/faz-portal/document?uid=FAZN__20150407_3526028	2015-04-07	"Die Ankündigung der jemenitischen Terrorgruppe Ansar al Scharia, Abu Bakr al Bagdadi, ""dem Kalifen der Gläubigen"", die Treue zu schwören, hatte ...
         ..März 2015, bei denen 142 Menschen getötet wurden, brachten die Präsenz des IS im Jemen mit einem Schlag ins Bewusstsein...  ..Es war der erste Terroranschlag im Namen des IS im Jemen...  ..Noch ist nicht klar, ob der IS und Al Qaida im Jemen rivalisieren oder nebeneinander koexistieren..."	Marcus Bickel	IS im Jemen	FAZ
Entscheidung über Feuerpause aufgeschoben	https://www.faz-biblionet.de/faz-portal/document?uid=FAZN__20150405_3523386	2015-04-05	"Der UN-Sicherheitsrat hat die Entscheidung über eine humanitäre Feuerpause im Jemen aufgeschoben. Russland hatte am Samstag (Ortszeit) auf der ...
         ..Der UN-Sicherheitsrat hat die Entscheidung über eine humanitäre Feuerpause im Jemen aufgeschoben...  ..der Sondersitzung des Weltgremiums vorgeschlagen, dass Saudi-Arabien und seine Verbündeten ihre Luftangriffe auf Ziele im Jemen.."		Jemen	FAZ
Russland fordert Feuerpause im Jemen	https://www.faz-biblionet.de/faz-portal/document?uid=FAZN__20150405_3523033	2015-04-05	"Mit Hilfe der Vereinten Nationen will Russland die von Saudi-Arabien geführten Luftangriffe im Jemen stoppen. Moskau legte am Samstag dem Sicherheitsrat ...
         ..Mit Hilfe der Vereinten Nationen will Russland die von Saudi-Arabien geführten Luftangriffe im Jemen stoppen...  ..Allein in den vergangenen zwei Wochen seien bei den Kämpfen im Jemen 519 Zivilisten getötet worden sein, hieß es bei der..  ..Eine von Saudi-Arabien geführte sunnitische Allianz bombardiert seit zehn Tagen Stellungen der Houthis im Jemen..."		Beratungen im Sicherheitsrat	FAZ
Sicherheitsrat beruft Krisensitzung zu Jemen ein	https://www.faz-biblionet.de/faz-portal/document?uid=FAZN__20150404_3521698	2015-04-04	"Russland fordert im höchsten Gremium der Vereinten Nationen eine Feuerpause. Die Staaten werden auch über ein mögliches Waffenembargo gegen ...
         ..Der Sicherheitsrat der Vereinten Nationen kommt am Samstag erneut zu einer Krisensitzung zur Lage im Jemen zusammen...  ..Die Vereinten Nationen hatte sich zuletzt besorgt über die steigende Zahl getöteter Zivilisten im Jemen gezeigt...  ..Am Freitag wurden in Saudi-Arabien zwei weitere Grenzsoldaten durch Beschuss aus dem Jemen getötet..."		Saudische Luftangriffe	FAZ
Huthi-Rebellen übergeben wichtigen Hafen	https://www.faz-biblionet.de/faz-portal/document?uid=FAZN__20181229_5964213	2018-12-29	"Als Teil eines UN-Friedensplans für den Jemen haben sich die Huthi-Rebellen nach eigenen Angaben aus dem strategisch wichtigen Hafen der Stadt ...
         ..Als Teil eines UN-Friedensplans für den Jemen haben sich die Huthi-Rebellen nach eigenen Angaben aus dem strategisch wichtigen..  ..Im Jemen herrscht den Vereinten Nationen zufolge die schlimmste humanitäre Krise weltweit..."		Krieg im Jemen	FAZ
UN-Team im Jemen	https://www.faz-biblionet.de/faz-portal/document?uid=FAZ__FR1201812245599034_3	2018-12-24	Der Leiter der UN-Mission zur Überwachung der Waffenruhe in der jemenitischen Hafenstadt Hudaida hat am Wochenende seine Arbeit in dem Bürgerkriegsland ...		Wichtiges in Kürze	FAZ
Beobachtermission für Jemen	https://www.faz-biblionet.de/faz-portal/document?uid=FAZ__FR1201812225597863_4	2018-12-22	"Der Sicherheitsrat der Vereinten Nationen hat per Resolution die Waffenruhe für den strategisch wichtigen Hafen Hudaida im Bürgerkriegsland ...
         ..der Vereinten Nationen hat per Resolution die Waffenruhe für den strategisch wichtigen Hafen Hudaida im Bürgerkriegsland Jemen.."		Wichtiges in Kürze	FAZ
"""Der Jemen ist für Kinder die Hölle auf Erden"""	https://www.faz-biblionet.de/faz-portal/document?uid=FAZ__FD2201812215593846	2018-12-21	"Herr Cappelaere, Sie sind regelmäßig im Jemen und bereisen das ganze Land. Zuletzt waren Sie in Aden und Abyan, davor in Sanaa, Taizz und Hudaida. ...
         ..Der Jemen ist weniger zerstört als Syrien, die humanitäre Katastrophe ist im Jemen aber ungleich größer. Weshalb?..  ..Wie viele Menschen sind im Jemen unterernährt?..  ..Wer das erwartet, kennt den Jemen nicht..."		Im Gespräch: Geert Cappelaere, Regionaldirektor des UN-Kinderhilfswerks Unicef für den Nahen Osten	FAZ
Kämpfe im Jemen ausgesetzt	https://www.faz-biblionet.de/faz-portal/document?uid=FAZ__FD1201812195593961_4	2018-12-19	Nach Inkrafttreten eines Waffenstillstands in Teilen des Jemens am Dienstag haben die Kämpfe in der Hafenstadt Hudaida in den frühen Morgenstunden ...		Wichtiges in Kürze	FAZ
Unfähig zum K.-o.-Schlag im Jemen	https://www.faz-biblionet.de/faz-portal/document?uid=FAZ__FD1201812195593793_4	2018-12-19	"Die Londoner ""Times"" kommentiert Saudi-Arabiens Rolle im Jemen-Krieg: /  / ""Der Konflikt hat gezeigt, dass Riad trotz eines gewaltigen Arsenals ...
         ..Die Londoner ""Times"" kommentiert Saudi-Arabiens Rolle im Jemen-Krieg:

""Der Konflikt hat gezeigt, dass Riad trotz eines gewaltigen..  ..Saudi-Arabiens Kronprinz, der weithin persönlich mit dem Jemen-Krieg in Verbindung gebracht wird, hat jetzt eine Chance..."			FAZ
Rüstungsexporte steuern auf neuen Rekord zu	https://www.faz-biblionet.de/faz-portal/document?uid=FAZ__FD1201910085827251	2019-10-08	"bub. BERLIN, 7. Oktober. In den ersten neun Monaten dieses Jahres hat die Bundesregierung Rüstungsexporte im Gesamtwert von 6,35 Milliarden ...
         ..Euro folgt an zweiter Stelle Ägypten, das an der Seite Saudi-Arabiens gegen die von Iran unterstützten Houthi-Rebellen im Jemen..  ..Auch sie sind am Krieg im Jemen beteiligt, haben aber im Sommer angekündigt, ihre Truppen aus dem Land abzuziehen...  ..Union und SPD hatten im Koalitionsvertrag vereinbart, keine Ausfuhren an Länder zu genehmigen, solange sie ""unmittelbar"" am Jemen-Krieg.."		Ungarn und Ägypten sind Hauptabnehmer / Kritik wegen Beteiligung am Krieg im Jemen	FAZ
Verzögerte Siegesfeier	https://www.faz-biblionet.de/faz-portal/document?uid=FAZN__20190930_6410895	2019-09-30	"Der Propaganda-Gegenschlag kam mit leichter Verzögerung. Am Montag meldete sich Moammar al Eryani, Informationsminister der jemenitischen Regierung, ...
         ..Mehrere unabhängige Beobachter aus dem Jemen und dem Ausland äußerten die Einschätzung, es sei unwahrscheinlich, dass die..  ..im Jemen sucht, lobte den Vorstoß und beschwor den Willen zu einer politischen Lösung...  ..Der Krieg im bitterarmen Jemen hat die derzeit größte humanitäre Katastrophe der Welt heraufbeschworen..."	Christoph Ehrhardt	Jemen-Krieg	FAZ
Houthi im Siegestaumel	https://www.faz-biblionet.de/faz-portal/document?uid=FAZ__FR1201909305821582	2019-09-30	"BEIRUT, 29. September. ""Wir kommen"", sagt der Mann in dem Video, das Sturmgewehr lässig am Lauf gefasst und auf der Schulter abgelegt, in der ...
         ..So oder so wäre es ein weiterer Rückschlag für den saudischen Jemen-Feldzug...  ..Die Führung in Abu Dhabi ist des Krieges im Jemen überdrüssig und hat den Großteil ihrer Truppen diskret abgezogen...  ..Und im Weißen Haus gerät Präsident Trump unter zunehmenden innenpolitischen Druck, den saudischen Krieg im Jemen, der eine.."		Die schiitischen Rebellen im Jemen haben der saudisch geführten Kriegskoalition offenbar einen schweren Schlag versetzt / Von Christoph Ehrhardt	FAZ
Houthi im Siegestaumel	https://www.faz-biblionet.de/faz-portal/document?uid=FAZN__20190929_6409233	2019-09-29	"""Wir kommen"", sagt der Mann in dem Video, das Sturmgewehr lässig am Lauf gefasst und auf der Schulter abgelegt, in der anderen Hand eine jemenitische ...
         ..So oder so wäre es ein weiterer Rückschlag für den saudischen Jemen-Feldzug...  ..Die Führung in Abu Dhabi ist des Krieges im Jemen überdrüssig und hat den Großteil ihrer Truppen diskret abgezogen...  ..Und im Weißen Haus gerät Präsident Trump unter zunehmenden innenpolitischen Druck, den saudischen Krieg im Jemen, der eine.."	Christoph Ehrhardt	Jemen	FAZ
Houthi-Rebellen: Hunderte saudische Soldaten gefangen	https://www.faz-biblionet.de/faz-portal/document?uid=FAZN__20190928_6407998	2019-09-28	"Die Houthi-Rebellen haben im Jemen eigenen Angaben zufolge Hunderte saudische Soldaten bei einer großangelegten Offensive gefangen genommen. ...
         ..Die Houthi-Rebellen haben im Jemen eigenen Angaben zufolge Hunderte saudische Soldaten bei einer großangelegten Offensive..  ..Das von Saudi-Arabien angeführte Militärbündnis, das im Jemen gegen die Houthis kämpft, äußerte sich zunächst nicht...  ..Sie sehen darin eine Vergeltung für die saudischen Bombardierungen im Jemen.

nto./dpa.."		Krieg im Jemen	FAZ
Pelosi: Trumps Jemen-Veto ist zynisch	https://www.faz-biblionet.de/faz-portal/document?uid=FAZ__FD1201904185689827	2019-04-18	"anr. FRANKFURT, 17. April. Amerika wird Saudi-Arabien weiterhin logistische Hilfe für den Jemen-Krieg leisten. Mit seinem zweiten Veto wies ...
         ..Amerika wird Saudi-Arabien weiterhin logistische Hilfe für den Jemen-Krieg leisten...  ..überparteiliche Resolution ""zynisch"" zu hintertreiben und ""Amerikas schändliche Beteiligung an dieser herzzerreißenden Krise"" im Jemen.."			FAZ
Trump legt Veto gegen Resolution zu Militärhilfe ein	https://www.faz-biblionet.de/faz-portal/document?uid=FAZN__20190417_6145141	2019-04-17	"Amerikas Präsident Donald Trump hat sein Veto gegen eine Resolution des Kongresses eingelegt, die der amerikanischen Hilfe für die Militäroperation ...
         ..hat sein Veto gegen eine Resolution des Kongresses eingelegt, die der amerikanischen Hilfe für die Militäroperation im Jemen..  ..""Die Menschen im Jemen brauchen dringend humanitäre Hilfe, nicht noch mehr Bomben"", erklärte der Senator, der sich um die..  ..Im Jemen kämpfen Huthi-Rebellen seit mehr als vier Jahren gegen Anhänger der international anerkannten Regierung..."		Kämpfe im Jemen	FAZ
Beobachtermission im Jemen	https://www.faz-biblionet.de/faz-portal/document?uid=FAZ__FD2201904105682411_3	2019-04-10	"Deutschland wird sich im Jemen an einer Beobachtermission der Vereinten Nationen beteiligen. Darüber hat Verteidigungsministerin Ursula von ...
         ..Deutschland wird sich im Jemen an einer Beobachtermission der Vereinten Nationen beteiligen...  ..Derzeit sind etwa 30 internationale UN-Beobachter im Jemen im Einsatz. (pca.).."		Wichtiges in Kürze	FAZ
Saudi-Arabien fliegt Angriffe auf Huthi-Stellungen im Jemen	https://www.faz-biblionet.de/faz-portal/document?uid=FAZN__20190410_6134619	2019-04-10	"Im Jemen nimmt die Gewalt in der Hauptstadt Sanaa wieder zu. Die von Saudi-Arabien angeführte Koalition flog am Mittwoch Angriffe auf Huthi- ...
         ..Im Jemen nimmt die Gewalt in der Hauptstadt Sanaa wieder zu...  ..Dezember vereinbarter Waffenstillstand für die Hafenstadt Hodeida weitgehend hält, nehmen die Spannungen andernorts im Jemen..  ..Nicht zuletzt wegen der saudiarabischen Rolle im Krieg im Jemen hatte die Bundesregierung das einseitige deutsche Moratorium.."		In Sanaa	FAZ
Anti-Houthi-Koalition greift Hudaida an	https://www.faz-biblionet.de/faz-portal/document?uid=FAZ__FD1201806145444210	2018-06-14	"cheh. BEIRUT, 13. Juni. Truppen der von Saudi-Arabien geführten Koalition haben ihre Offensive auf die jemenitische Hafenstadt Hudaida begonnen. ...
         ..In dieser Zeit hatte sich der UN-Sondergesandte für den Jemen, Martin Griffiths, noch fieberhaft darum bemüht, den Großangriff.."		Offensive auf jemenitische Hafenstadt / Humanitäre Helfer abgezogen	FAZ
Mit dem Rücken zur Wand	https://www.faz-biblionet.de/faz-portal/document?uid=FAZ__FD2201806125442193	2018-06-12	"BEIRUT, 11. Juni. Die Drohung steht zumindest im Raum. Drei Tage haben die Vereinigten Arabischen Emirate den Vereinten Nationen und deren Partnerorganisationen ...
         ..So herrscht lediglich Gewissheit, dass eine Schlacht um Hudaida die ohnehin katastrophale humanitäre Situation im Jemen noch..  ..Der UN-Sondergesandte für den Jemen, der Brite Martin Griffiths, hat gewarnt, der Beginn der Schlacht um Hudaida bedeutete.."		Jemenitische Truppen bereiten den Sturm auf Hudaida vor - für die Houthi wäre der Verlust ein massiver Rückschlag / Von Christoph Ehrhardt	FAZ
Houthis treffen iranischen Außenminister	https://www.faz-biblionet.de/faz-portal/document?uid=FAZN__20191224_6552181	2019-12-24	"Vertreter der schiitischen Houthi-Rebellen im Jemen haben den iranischen Außenminister Muhammed Dschawad Zarif zu Gesprächen über den Krieg ...
         ..Vertreter der schiitischen Houthi-Rebellen im Jemen haben den iranischen Außenminister Muhammed Dschawad Zarif zu Gesprächen..  ..Jemen ist eines der ärmsten Länder der Welt...  ..Auch der UN-Jemenbeauftragte Martin Griffiths nahm demnach teil..."		Bürgerkrieg in Jemen	FAZ
Jemen, das Armenhaus am Golf	https://www.faz-biblionet.de/faz-portal/document?uid=FAZN__20210329_7264838	2021-03-29	"Der Krieg hat den Jemen Jahrzehnte in die Vergangenheit katapultiert. Millionen Menschen hungern, obwohl es etwas zu essen gibt. Immerhin scheint ...
         ..Im Jemen hungern die Menschen. Die Welt nimmt kaum Notiz davon...  ..Es ist die Armut, die den Jemen beherrscht. Denn es gibt noch Lebensmittel...  ..Der Jemen importierte vor dem Krieg neunzig Prozent seiner Lebensmittel..."	Wibke Becker	Seit Jahren herrscht Krieg	FAZ
Armenhaus Jemen	https://www.faz-biblionet.de/faz-portal/document?uid=FAS__SD120210328500080461356	2021-03-28	"Millionen Menschen hungern, obwohl es zu essen gibt. Immerhin scheint der Frieden einen kleinen Schritt näher gerückt. /  / Von Wibke Becker /  / Im ...
         ..Von Wibke Becker

Im Jemen hungern die Menschen. Die Welt nimmt kaum Notiz davon...  ..Es ist die Armut, die den Jemen beherrscht. Denn es gibt noch Lebensmittel...  ..Der Jemen importierte vor dem Krieg neunzig Prozent seiner Lebensmittel..."			FAZ
Schwere Kämpfe im Jemen	https://www.faz-biblionet.de/faz-portal/document?uid=FAZ__FD1202103086206649_2	2021-03-08	"Erstmals seit Monaten hat die von Saudi-Arabien geführte Militärkoalition Luftangriffe auf das von den Houthi-Rebellen kontrollierte Sanaa geflogen. ...
         ..Im Jemen versuchen die Kämpfer der Miliz derweil, in einer großangelegten Offensive die strategisch wichtige Stadt Marib.."		Wichtiges in Kürze	FAZ
Mindestens 90 Tote bei Kämpfen im Jemen	https://www.faz-biblionet.de/faz-portal/document?uid=FAZN__20210306_7231046	2021-03-06	"Bei Kämpfen zwischen regierungsnahen Truppen und den proiranischen Huthi-Rebellen in Jemen sind binnen 24 Stunden mindestens 90 Kämpfer getötet ...
         ..Bei Kämpfen zwischen regierungsnahen Truppen und den proiranischen Huthi-Rebellen in Jemen sind binnen 24 Stunden mindestens..  ..Auch die humanitäre Krise im Jemen könnte sich dadurch noch verschärfen...  ..Die Vereinten Nationen stufen die Lage im Jemen als schwerste humanitäre Krise der Welt ein.

AFP.."		Offensive der Huthi-Rebellen	FAZ
Guterres enttäuscht von Jemen-Hilfen	https://www.faz-biblionet.de/faz-portal/document?uid=FAZ__FD2202103036203408_0DOK1	2021-03-03	"UN-Generalsekretär António Guterres hat das Ergebnis der internationalen Geberkonferenz für den Jemen als ""enttäuschend"" bezeichnet. In dem ...
         ..UN-Generalsekretär António Guterres hat das Ergebnis der internationalen Geberkonferenz für den Jemen als ""enttäuschend""..  ..Sie kündigte an, den Jemen zu einer Priorität im UN-Sicherheitsrat zu machen.

Her..."		Wichtiges in Kürze	FAZ
Eine menschengemachte Katastrophe	https://www.faz-biblionet.de/faz-portal/document?uid=FAZ__FR1202103026202519	2021-03-02	"Her./Lt. FRANKFURT/BERLIN. Bei der diesjährigen Geberkonferenz der Vereinten Nationen für den Jemen sind nur rund 1,7 Milliarden Dollar an Spenden ...
         ..Bei der diesjährigen Geberkonferenz der Vereinten Nationen für den Jemen sind nur rund 1,7 Milliarden Dollar an Spenden zusammengekommen..  ..Kindheit im Jemen sei ""eine besondere Form der Hölle"", hatte Guterres vor der Zusammenkunft gesagt...  ..Millionen Menschen seien im Jemen von einer Hungersnot bedroht, deren Ursache ""durch und durch menschengemacht"" sei..."		Im Jemen versuchen die Vereinten Nationen, die schlimmste Hungersnot seit Jahrzehnten zu verhindern - der Krieg nimmt aber kein Ende	FAZ
UN warnen vor Verschärfung der Hungersnot	https://www.faz-biblionet.de/faz-portal/document?uid=FAZN__20181016_5840267	2018-10-16	"Das Welternährungsprogramm der Vereinten Nationen hat vor einer Verschärfung der Hungersnot im Bürgerkriegsland Jemen gewarnt. Sollte sich die ...
         ..Das Welternährungsprogramm der Vereinten Nationen hat vor einer Verschärfung der Hungersnot im Bürgerkriegsland Jemen gewarnt..  ..Seit 2014 herrscht im Jemen Bürgerkrieg..."		Krieg im Jemen	FAZ
Saudi-Arabien könnte zu spät kommen	https://www.faz-biblionet.de/faz-portal/document?uid=FAZN__20150326_3507295	2015-03-26	"Was bislang ein jemenitischer Bürgerkrieg war, eskaliert nun zu einem Krieg, der weitere Länder in der Region erfasst. Saudi-Arabien hat in ...
         ..Machthaber des Jemens, der schiitischen Houthi, durch Iran reagiert, hat dazu mehr als 100.000 Soldaten an die Grenze zum Jemen..  ..Denn die ägyptische Marine kontrolliert nun die Meerenge Bab al Mandeb, die den Jemen von Afrika trennt, so dass keine iranischen..  ..vergangenen Jahren aber konzentrierte sich Saudi-Arabien so sehr auf Ägypten und die Bekämpfung der Muslimbrüder, dass es den Jemen.."	Rainer Hermann	Militäraktion im Jemen	FAZ
Saudi-Arabien bereit zu Militärintervention im Jemen	https://www.faz-biblionet.de/faz-portal/document?uid=FAZ__FD2201503264535499	2015-03-26	"mrb. KAIRO, 25. März. Saudi-Arabien und weitere Staaten der Arabischen Liga bereiten sich auf eine mögliche Militärintervention im Jemen vor. ...
         ..Saudi-Arabien und weitere Staaten der Arabischen Liga bereiten sich auf eine mögliche Militärintervention im Jemen vor...  ..Die Arabische Liga will an diesem Donnerstag über ein militärisches Eingreifen im Jemen beraten...  ..Jassin beschuldigte Iran, den Jemen ""übernehmen"" zu wollen..."	Iran unterstützte Houthi-Rebellen rücken weiter vor / Präsident Hadi auf der Flucht		FAZ
Houthi-Rebellen: Verteidigungsminister in unserer Hand	https://www.faz-biblionet.de/faz-portal/document?uid=FAZN__20150325_3504577	2015-03-25	"Die schiitischen Houthi-Rebellen haben nach eigenen Angaben angeblich den Verteidigungsminister des Jemen festgenommen. Mahmud al-Subaihi sei ...
         ..schweres Militärgerät an der Grenze zum Jemen zusammen...  ..Diplomaten zufolge ist bislang kein neues Treffen zum Jemen geplant...  ..Im Jemen herrschen seit Jahren politisches Chaos und Gewalt..."		Kämpfe im Jemen	FAZ
Teherans Triumph	https://www.faz-biblionet.de/faz-portal/document?uid=FAZN__20150325_3505623	2015-03-25	"Jemens international anerkannter Präsident Abd Rabbo Mansur Hadi ist am Mittwoch aus seinem provisorischen Hauptquartier in Aden geflohen. Das ...
         ..Die sunnitischen GCC-Staaten drohen bereits mit einer militärischen Intervention im Jemen...  ..Außerdem versäumte es Riad, eine Rückkehr des früheren Präsidenten Salih in den Jemen zu verhindern...  ..Salih verfügt im Jemen weiterhin über ein mächtiges Netzwerk im Sicherheitsapparat..."	Markus Bickel	Machtkampf im Jemen	FAZ
Tote bei Gefechten im Jemen	https://www.faz-biblionet.de/faz-portal/document?uid=FAZ__FD3201503254534351_5	2015-03-25	"Bei Kämpfen zwischen Anhängern und Gegnern von Präsident Abd Rabbo Mansur Hadi sind im Jemen mindestens 30 Menschen getötet worden. In der Provinz ...
         ..Bei Kämpfen zwischen Anhängern und Gegnern von Präsident Abd Rabbo Mansur Hadi sind im Jemen mindestens 30 Menschen getötet.."		Wichtiges in Kürze	FAZ
Auf eigene Rechnung	https://www.faz-biblionet.de/faz-portal/document?uid=FAZ__FD1201806225450749	2018-06-22	"BEIRUT, 21. Juni /  / Anwar al Gargasch, der Außenminister der Vereinigten Arabischen Emirate hat Übung darin, den Jemen-Einsatz seines Landes gegen ...
         ..Man werde die Houthi-Rebellen im Jemen mit militärischer Gewalt an den Verhandlungstisch zwingen...  ..""Anders als Saudi-Arabien haben die Emirate keine Grenze zum Jemen...  ..Aber der Jemen-Einsatz fordere auch andere Fähigkeiten..."		Die Rolle der Vereinigten Arabischen Emirate im Jemen-Krieg / Von Christoph Ehrhardt	FAZ
Rotes Kreuz warnt vor Fluchtwelle im Jemen	https://www.faz-biblionet.de/faz-portal/document?uid=FAZ__FD1201806165446896	2018-06-16	SANAA, 15. Juni (dpa). Angesichts der heftigen Kämpfe um die wichtige jemenitische Hafenstadt Hudaida hat das Internationale Komitee vom Roten ...			FAZ
Dutzende Tote bei Kämpfen um Hafen	https://www.faz-biblionet.de/faz-portal/document?uid=FAZN__20180615_5641037	2018-06-15	"Am zweiten Tag ihrer Offensive auf die strategisch wichtige Hafenstadt Hudaida im Jemen sind Regierungstruppen und deren Verbündete erneut auf ...
         ..Am zweiten Tag ihrer Offensive auf die strategisch wichtige Hafenstadt Hudaida im Jemen sind Regierungstruppen und deren..  ..Der UN-Sicherheitsrat forderte die Konfliktparteien auf, den für den Jemen wichtigen Hafen Hudaida offen zu halten...  ..Der UN-Sicherheitsrat beriet am Donnerstag auf Antrag Großbritanniens über die Offensive im Jemen..."		Krieg im Jemen	FAZ
Houthi-Rebellen stürmen Präsidentenpalast	https://www.faz-biblionet.de/faz-portal/document?uid=FAZN__20150402_3519197	2015-04-02	"Houthi-Rebellen haben am Donnerstag in Jemens Hafenstadt Aden den Palast des nach Riad geflüchteten Präsidenten gestürmt und der arabischen ...
         ..Aqap ist im Süden und Südosten des Jemen gut verankert, insbesondere in der Provinz Hadramut.

Reuters/ AFP.."		Jemen	FAZ
Dutzende Tote bei Bombardement einer Hafenstadt	https://www.faz-biblionet.de/faz-portal/document?uid=FAZN__20150401_3517517	2015-04-01	"Bei einem Luftangriff auf die jemenitische Hafenstadt Hodaida im Westen des Landes sind nach offiziellen Angaben mindestens 37 Menschen getötet ...
         ..Sie wollen den demokratisch gewählten Präsidenten Abd Rabbu Mansur Hadi, der aus dem Jemen geflohen ist, wiedereinsetzen...  ..In den vergangenen Tagen hatte unter anderen die chinesische Regierung Landsleute aus dem Jemen in Sicherheit gebracht..."		Jemen	FAZ
